product_id,product_name,manufacturer,matched_name,matched_maker,similarity,maker_status,raw_length
7,"허니버터칩","해태제과식품(주)","허니버터칩","해태가루비(주) 제 2공장",1.00,❌불일치,17
19,"컵누들 매콤한맛","(주)농심","컵누들 매콤한맛","오뚜기에스에프(주)",1.00,❌불일치,17
22,"코카콜라 제로","한국코카콜라(주)","코카콜라 제로","코카콜라음료(주)",1.00,❌불일치,47
24,"델몬트 오렌지주스 100%","롯데칠성음료(주)","델몬트 오렌지 100","우일음료",0.73,❌불일치,24
29,"칸타타 콘트라베이스","롯데칠성음료(주)","콘트라베이스","주식회사 범천��피",0.64,❌불일치,10
40,"해찬들 태양초 고추장","CJ제일제당(주)","태양초 고추장","(주)참고을 제2공장",0.67,❌불일치,54
44,"비비고 열무김치","CJ제일제당(주)","비비고 열무김치","한국농협김치조합공동사업법인 파주지사",1.00,❌불일치,95
47,"오뚜기 카레 분말","(주)오뚜기","카레 분말","토우식품",0.60,❌불일치,32
60,"백설 올리고당","CJ제일제당(주)","올리고당","동희(주)",0.63,❌불일치,17
62,"삼립 미니꿀호떡","SPC삼립(주)","미니꿀호떡","(주)샤니",0.67,❌불일치,251
75,"풀무원 국산콩 두부","(주)풀무원","국산콩 두부","제일식품",0.64,❌불일치,27
84,"쇠고기 육포","(주)사조대림","쇠고기 육포","주식회사다원F&B",1.00,❌불일치,94
93,"엑스트라 버진 올리브유","CJ제일제당(주)","엑스트라 버진 올리브유","(주)한국씨엔에스팜",1.00,❌불일치,12
95,"백설 포도씨유","CJ제일제당(주)","포도씨유","롯데웰푸드주식회사천안공장",0.63,❌불일치,18
130,"좋은상품 유기농 부침가루","사조동아원(주) 부산공장","유기농 부침가루","씨제이제일제당(주)",0.64,❌불일치,45
137,"고려흑삼정","(주)고려바이오홍삼","고려흑삼정","(주)화인내츄럴",1.00,❌불일치,16
173,"고추간장절임","농업회사법인주식회사해미래","고추간장절임","오성종합식품",1.00,❌불일치,75
176,"비빔냉면용양념","(주)엄지식품","비빔냉면용양념","에스비케이푸드컴퍼니",1.00,❌불일치,80
177,"커피맛캔디","신화당제과","커피맛캔디","미성식품",1.00,❌불일치,27
188,"올리비에올리브유","(주)맛드림","올리비에올리브유","(주)인스푸드코리아",1.00,❌불일치,6
199,"마늘쫑무침(수원)","한영식품","마늘쫑무침","(주)영동식품",0.67,❌불일치,49
201,"오징어 링","해봉수산","오징어 링","우일수산(주)",1.00,❌불일치,95
213,"미니돈까스","농업회사법인 유한회사 민들래","미니돈까스","(주)마니커에프앤지",1.00,❌불일치,142
218,"초화림 간장깻잎지","(주)초화림","간장깻잎지","(주)유창상사",0.60,❌불일치,22
221,"스무디킹 인핸서 4","코스맥스엔비티(주)","스무디킹 인핸서 8","(주)유유헬스케어",0.69,❌불일치,72
226,"마늘쫑무침","(주)더안코리아","마늘쫑무침","(주)영동식품",1.00,❌불일치,49
227,"뽕잎간장절임","농업회사법인주식회사해미래","뽕잎간장절임","(주)반찬천국",1.00,❌불일치,28
241,"옥수수수염차","(주)퓨럽","옥수수수염차","(주)오뚜기",1.00,❌불일치,15
254,"김신영 고기왕만두","나래식품주식회사","고기왕만두","(주)취영루",0.60,❌불일치,137
263,"해표 포도씨유","(주)사조대림","포도씨유","롯데웰푸드주식회사천안공장",0.63,❌불일치,18
283,"구멍쌀떡볶이Ⅰ","삼오식품(주)","구멍쌀떡볶이","태승식품",0.67,❌불일치,12
301,"비타민나무잎차","삼성생약주식회사","비타민나무잎차","다송식품주식회사",1.00,❌불일치,8
303,"김밥용소스","(주)이엔푸드","김밥용소스","미담",1.00,❌불일치,33
310,"수제등심돈까스","세미가","수제등심돈까스","텔푸드",1.00,❌불일치,37
311,"고구마케익2호","씨제이푸드빌주식회사","고구마케익2호","(주)옵스",1.00,❌불일치,127
315,"함박스테이크정식","(주)현대푸드시스템","함박스테이크정식","(주)엘앤씨에프앤씨(푸짐도시락)",1.00,❌불일치,91
337,"돼지양념갈비","태하식품","돼지양념갈비소스","주식회사 바로에프에스",0.60,❌불일치,135
361,"치킨양념소스(순한맛)","(주)예우당에프에스","치킨양념소스(순한맛)","태원식품산업(주)",1.00,❌불일치,118
374,"누룽지맛 캔디","신화당제과","한일 누룽지맛 캔디","(주)한일제과",0.73,❌불일치,39
